venue,innings,batting_team,bowling_team,total_runs
Wankhede Stadium,2,Kings XI Punjab,Mumbai Indians,55
Subrata Roy Sahara Stadium,1,Chennai Super Kings,Pune Warriors,29
Subrata Roy Sahara Stadium,2,Pune Warriors,Chennai Super Kings,46
"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Sunrisers Hyderabad,41
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Mumbai Indians,36
Shaheed Veer Narayan Singh International Stadium,1,Kolkata Knight Riders,Delhi Daredevils,37
Shaheed Veer Narayan Singh International Stadium,2,Delhi Daredevils,Kolkata Knight Riders,34
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kings XI Punjab,36
"MA Chidambaram Stadium, Chepauk",2,Kings XI Punjab,Chennai Super Kings,36
Subrata Roy Sahara Stadium,1,Royal Challengers Bangalore,Pune Warriors,30
Subrata Roy Sahara Stadium,2,Pune Warriors,Royal Challengers Bangalore,39
Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,32
Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,48
"Rajiv Gandhi International Stadium, Uppal",1,Delhi Daredevils,Sunrisers Hyderabad,26
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Delhi Daredevils,41
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,31
M Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,46
Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,32
Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,30
Sawai Mansingh Stadium,1,Pune Warriors,Rajasthan Royals,57
Sawai Mansingh Stadium,2,Rajasthan Royals,Pune Warriors,53
M Chinnaswamy Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,40
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,47
Sawai Mansingh Stadium,1,Delhi Daredevils,Rajasthan Royals,42
Sawai Mansingh Stadium,2,Rajasthan Royals,Delhi Daredevils,49
Wankhede Stadium,1,Mumbai Indians,Kolkata Knight Riders,41
Wankhede Stadium,2,Kolkata Knight Riders,Mumbai Indians,38
"Rajiv Gandhi International Stadium, Uppal",1,Chennai Super Kings,Sunrisers Hyderabad,50
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Chennai Super Kings,49
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Rajasthan Royals,37
"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Kings XI Punjab,38
Subrata Roy Sahara Stadium,1,Kolkata Knight Riders,Pune Warriors,50
Subrata Roy Sahara Stadium,2,Pune Warriors,Kolkata Knight Riders,34
Feroz Shah Kotla,1,Royal Challengers Bangalore,Delhi Daredevils,40
Feroz Shah Kotla,2,Delhi Daredevils,Royal Challengers Bangalore,49
Subrata Roy Sahara Stadium,1,Pune Warriors,Mumbai Indians,36
Subrata Roy Sahara Stadium,2,Mumbai Indians,Pune Warriors,37
"Punjab Cricket Association Stadium, Mohali",1,Sunrisers Hyderabad,Kings XI Punjab,37
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Sunrisers Hyderabad,41
JSCA International Stadium Complex,1,Royal Challengers Bangalore,Kolkata Knight Riders,22
JSCA International Stadium Complex,2,Kolkata Knight Riders,Royal Challengers Bangalore,31
Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,37
Sawai Mansingh Stadium,2,Rajasthan Royals,Chennai Super Kings,24
Feroz Shah Kotla,1,Delhi Daredevils,Kings XI Punjab,40
Feroz Shah Kotla,2,Kings XI Punjab,Delhi Daredevils,56
Wankhede Stadium,1,Sunrisers Hyderabad,Mumbai Indians,51
Wankhede Stadium,2,Mumbai Indians,Sunrisers Hyderabad,39
JSCA International Stadium Complex,1,Pune Warriors,Kolkata Knight Riders,42
JSCA International Stadium Complex,2,Kolkata Knight Riders,Pune Warriors,33
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Delhi Daredevils,47
"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,Chennai Super Kings,49
Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,43
Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,29
"Punjab Cricket Association Stadium, Mohali",1,Royal Challengers Bangalore,Kings XI Punjab,58
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Royal Challengers Bangalore,41
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Rajasthan Royals,21
"Rajiv Gandhi International Stadium, Uppal",2,Rajasthan Royals,Sunrisers Hyderabad,33
Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,Mumbai Indians,35
Himachal Pradesh Cricket Association Stadium,2,Mumbai Indians,Kings XI Punjab,51
Subrata Roy Sahara Stadium,1,Pune Warriors,Delhi Daredevils,40
Subrata Roy Sahara Stadium,2,Delhi Daredevils,Pune Warriors,47
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,76
M Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,56
"Rajiv Gandhi International Stadium, Uppal",1,Kolkata Knight Riders,Sunrisers Hyderabad,32
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Kolkata Knight Riders,45
Feroz Shah Kotla,1,Chennai Super Kings,Mumbai Indians,47
Feroz Shah Kotla,2,Mumbai Indians,Chennai Super Kings,56
Feroz Shah Kotla,1,Sunrisers Hyderabad,Rajasthan Royals,27
Feroz Shah Kotla,2,Rajasthan Royals,Sunrisers Hyderabad,44
Eden Gardens,1,Rajasthan Royals,Mumbai Indians,42
Eden Gardens,2,Mumbai Indians,Rajasthan Royals,45
Eden Gardens,1,Mumbai Indians,Chennai Super Kings,34
Eden Gardens,2,Chennai Super Kings,Mumbai Indians,35
Sheikh Zayed Stadium,1,Kolkata Knight Riders,Mumbai Indians,31
Sheikh Zayed Stadium,2,Mumbai Indians,Kolkata Knight Riders,32
Sharjah Cricket Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,30
Sharjah Cricket Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,50
Sheikh Zayed Stadium,1,Chennai Super Kings,Kings XI Punjab,70
Sheikh Zayed Stadium,2,Kings XI Punjab,Chennai Super Kings,63
Sheikh Zayed Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,41
Sheikh Zayed Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,30
Dubai International Cricket Stadium,1,Mumbai Indians,Royal Challengers Bangalore,49
Dubai International Cricket Stadium,2,Royal Challengers Bangalore,Mumbai Indians,30
Dubai International Cricket Stadium,1,Kolkata Knight Riders,Delhi Daredevils,31
Dubai International Cricket Stadium,2,Delhi Daredevils,Kolkata Knight Riders,49
Sharjah Cricket Stadium,1,Rajasthan Royals,Kings XI Punjab,53
Sharjah Cricket Stadium,2,Kings XI Punjab,Rajasthan Royals,39
Sheikh Zayed Stadium,1,Chennai Super Kings,Delhi Daredevils,34
Sheikh Zayed Stadium,2,Delhi Daredevils,Chennai Super Kings,24
Sharjah Cricket Stadium,1,Kings XI Punjab,Sunrisers Hyderabad,43
Sharjah Cricket Stadium,2,Sunrisers Hyderabad,Kings XI Punjab,45
Dubai International Cricket Stadium,1,Chennai Super Kings,Rajasthan Royals,47
Dubai International Cricket Stadium,2,Rajasthan Royals,Chennai Super Kings,38
Sharjah Cricket Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,42
Sharjah Cricket Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,49
Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Delhi Daredevils,55
Dubai International Cricket Stadium,2,Delhi Daredevils,Sunrisers Hyderabad,44
Dubai International Cricket Stadium,1,Mumbai Indians,Chennai Super Kings,31
Dubai International Cricket Stadium,2,Chennai Super Kings,Mumbai Indians,51
Sheikh Zayed Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,22
Sheikh Zayed Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,36
Sheikh Zayed Stadium,1,Kings XI Punjab,Kolkata Knight Riders,51
Sheikh Zayed Stadium,2,Kolkata Knight Riders,Kings XI Punjab,24
Sharjah Cricket Stadium,1,Mumbai Indians,Delhi Daredevils,37
Sharjah Cricket Stadium,2,Delhi Daredevils,Mumbai Indians,31
Sharjah Cricket Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,37
Sharjah Cricket Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,47
Dubai International Cricket Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,44
Dubai International Cricket Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,33
Sheikh Zayed Stadium,1,Rajasthan Royals,Kolkata Knight Riders,41
Sheikh Zayed Stadium,2,Kolkata Knight Riders,Rajasthan Royals,33
Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Mumbai Indians,44
Dubai International Cricket Stadium,2,Mumbai Indians,Sunrisers Hyderabad,32
JSCA International Stadium Complex,1,Chennai Super Kings,Kolkata Knight Riders,43
JSCA International Stadium Complex,2,Kolkata Knight Riders,Chennai Super Kings,39
Wankhede Stadium,1,Kings XI Punjab,Mumbai Indians,36
Wankhede Stadium,2,Mumbai Indians,Kings XI Punjab,49
Feroz Shah Kotla,1,Delhi Daredevils,Rajasthan Royals,46
Feroz Shah Kotla,2,Rajasthan Royals,Delhi Daredevils,38
M Chinnaswamy Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,43
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,36
"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Kolkata Knight Riders,50
"Sardar Patel Stadium, Motera",2,Kolkata Knight Riders,Rajasthan Royals,50
Feroz Shah Kotla,1,Delhi Daredevils,Chennai Super Kings,46
Feroz Shah Kotla,2,Chennai Super Kings,Delhi Daredevils,49
Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,50
Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,64
Feroz Shah Kotla,1,Delhi Daredevils,Kolkata Knight Riders,29
Feroz Shah Kotla,2,Kolkata Knight Riders,Delhi Daredevils,52
Barabati Stadium,1,Kings XI Punjab,Chennai Super Kings,38
Barabati Stadium,2,Chennai Super Kings,Kings XI Punjab,46
"Sardar Patel Stadium, Motera",1,Sunrisers Hyderabad,Rajasthan Royals,50
"Sardar Patel Stadium, Motera",2,Rajasthan Royals,Sunrisers Hyderabad,37
M Chinnaswamy Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,59
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,34
Feroz Shah Kotla,1,Delhi Daredevils,Sunrisers Hyderabad,52
Feroz Shah Kotla,2,Sunrisers Hyderabad,Delhi Daredevils,44
Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,42
Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,38
Barabati Stadium,1,Kings XI Punjab,Kolkata Knight Riders,49
Barabati Stadium,2,Kolkata Knight Riders,Kings XI Punjab,55
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,31
M Chinnaswamy Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,45
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Mumbai Indians,43
"Rajiv Gandhi International Stadium, Uppal",2,Mumbai Indians,Sunrisers Hyderabad,38
JSCA International Stadium Complex,1,Rajasthan Royals,Chennai Super Kings,42
JSCA International Stadium Complex,2,Chennai Super Kings,Rajasthan Royals,48
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,34
M Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,46
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Kings XI Punjab,55
"Rajiv Gandhi International Stadium, Uppal",2,Kings XI Punjab,Sunrisers Hyderabad,86
Barabati Stadium,1,Mumbai Indians,Kolkata Knight Riders,37
Barabati Stadium,2,Kolkata Knight Riders,Mumbai Indians,45
"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Delhi Daredevils,52
"Sardar Patel Stadium, Motera",2,Delhi Daredevils,Rajasthan Royals,33
JSCA International Stadium Complex,1,Chennai Super Kings,Royal Challengers Bangalore,39
JSCA International Stadium Complex,2,Royal Challengers Bangalore,Chennai Super Kings,17
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Kolkata Knight Riders,41
"Rajiv Gandhi International Stadium, Uppal",2,Kolkata Knight Riders,Sunrisers Hyderabad,30
"Sardar Patel Stadium, Motera",1,Mumbai Indians,Rajasthan Royals,41
"Sardar Patel Stadium, Motera",2,Rajasthan Royals,Mumbai Indians,45
Feroz Shah Kotla,1,Delhi Daredevils,Kings XI Punjab,55
Feroz Shah Kotla,2,Kings XI Punjab,Delhi Daredevils,65
"Rajiv Gandhi International Stadium, Uppal",1,Royal Challengers Bangalore,Sunrisers Hyderabad,25
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Royal Challengers Bangalore,51
Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,35
Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,52
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Mumbai Indians,42
"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Kings XI Punjab,62
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,45
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,36
JSCA International Stadium Complex,1,Chennai Super Kings,Sunrisers Hyderabad,60
JSCA International Stadium Complex,2,Sunrisers Hyderabad,Chennai Super Kings,60
Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,65
Wankhede Stadium,2,Delhi Daredevils,Mumbai Indians,47
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Rajasthan Royals,53
"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Kings XI Punjab,44
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,34
M Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,64
Eden Gardens,1,Sunrisers Hyderabad,Kolkata Knight Riders,49
Eden Gardens,2,Kolkata Knight Riders,Sunrisers Hyderabad,49
"Punjab Cricket Association Stadium, Mohali",1,Delhi Daredevils,Kings XI Punjab,44
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Delhi Daredevils,48
Wankhede Stadium,1,Rajasthan Royals,Mumbai Indians,35
Wankhede Stadium,2,Mumbai Indians,Rajasthan Royals,71
Eden Gardens,1,Kolkata Knight Riders,Kings XI Punjab,55
Eden Gardens,2,Kings XI Punjab,Kolkata Knight Riders,46
Brabourne Stadium,1,Mumbai Indians,Chennai Super Kings,53
Brabourne Stadium,2,Chennai Super Kings,Mumbai Indians,60
Wankhede Stadium,1,Kings XI Punjab,Chennai Super Kings,70
Wankhede Stadium,2,Chennai Super Kings,Kings XI Punjab,96
M Chinnaswamy Stadium,1,Kings XI Punjab,Kolkata Knight Riders,32
M Chinnaswamy Stadium,2,Kolkata Knight Riders,Kings XI Punjab,59
Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,37
Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,38
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Delhi Daredevils,57
"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,Chennai Super Kings,40
Maharashtra Cricket Association Stadium,1,Rajasthan Royals,Kings XI Punjab,35
Maharashtra Cricket Association Stadium,2,Kings XI Punjab,Rajasthan Royals,51
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Sunrisers Hyderabad,49
"MA Chidambaram Stadium, Chepauk",2,Sunrisers Hyderabad,Chennai Super Kings,46
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,53
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,41
Feroz Shah Kotla,1,Delhi Daredevils,Rajasthan Royals,51
Feroz Shah Kotla,2,Rajasthan Royals,Delhi Daredevils,42
Wankhede Stadium,1,Kings XI Punjab,Mumbai Indians,56
Wankhede Stadium,2,Mumbai Indians,Kings XI Punjab,17
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,47
M Chinnaswamy Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,65
"Sardar Patel Stadium, Motera",1,Mumbai Indians,Rajasthan Royals,31
"Sardar Patel Stadium, Motera",2,Rajasthan Royals,Mumbai Indians,42
Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,69
Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,38
Maharashtra Cricket Association Stadium,1,Kings XI Punjab,Delhi Daredevils,41
Maharashtra Cricket Association Stadium,2,Delhi Daredevils,Kings XI Punjab,47
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,35
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,36
Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,31
Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,90
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Delhi Daredevils,Sunrisers Hyderabad,39
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Sunrisers Hyderabad,Delhi Daredevils,50
Maharashtra Cricket Association Stadium,1,Kings XI Punjab,Kolkata Knight Riders,48
Maharashtra Cricket Association Stadium,2,Kolkata Knight Riders,Kings XI Punjab,53
"Sardar Patel Stadium, Motera",1,Chennai Super Kings,Rajasthan Royals,39
"Sardar Patel Stadium, Motera",2,Rajasthan Royals,Chennai Super Kings,47
M Chinnaswamy Stadium,1,Mumbai Indians,Royal Challengers Bangalore,48
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Mumbai Indians,32
Feroz Shah Kotla,1,Delhi Daredevils,Kolkata Knight Riders,34
Feroz Shah Kotla,2,Kolkata Knight Riders,Delhi Daredevils,47
"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Kings XI Punjab,43
"Sardar Patel Stadium, Motera",2,Kings XI Punjab,Rajasthan Royals,40
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Kolkata Knight Riders,43
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Kolkata Knight Riders,Sunrisers Hyderabad,49
M Chinnaswamy Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,45
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,38
Feroz Shah Kotla,1,Delhi Daredevils,Mumbai Indians,45
Feroz Shah Kotla,2,Mumbai Indians,Delhi Daredevils,48
"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Royal Challengers Bangalore,48
"Sardar Patel Stadium, Motera",2,Royal Challengers Bangalore,Rajasthan Royals,49
Wankhede Stadium,1,Mumbai Indians,Sunrisers Hyderabad,46
Wankhede Stadium,2,Sunrisers Hyderabad,Mumbai Indians,52
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kings XI Punjab,53
"MA Chidambaram Stadium, Chepauk",2,Kings XI Punjab,Chennai Super Kings,39
Feroz Shah Kotla,1,Delhi Daredevils,Royal Challengers Bangalore,36
Feroz Shah Kotla,2,Royal Challengers Bangalore,Delhi Daredevils,50
"Punjab Cricket Association Stadium, Mohali",1,Sunrisers Hyderabad,Kings XI Punjab,56
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Sunrisers Hyderabad,31
Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,50
Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,36
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,50
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kolkata Knight Riders,53
"MA Chidambaram Stadium, Chepauk",2,Kolkata Knight Riders,Chennai Super Kings,54
Feroz Shah Kotla,1,Kings XI Punjab,Delhi Daredevils,23
Feroz Shah Kotla,2,Delhi Daredevils,Kings XI Punjab,41
Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,47
Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,55
M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,61
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,62
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Chennai Super Kings,76
"Rajiv Gandhi International Stadium, Uppal",2,Chennai Super Kings,Sunrisers Hyderabad,54
"Punjab Cricket Association Stadium, Mohali",1,Mumbai Indians,Kings XI Punjab,51
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Mumbai Indians,45
Brabourne Stadium,1,Rajasthan Royals,Delhi Daredevils,43
Brabourne Stadium,2,Delhi Daredevils,Rajasthan Royals,55
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Royal Challengers Bangalore,37
"MA Chidambaram Stadium, Chepauk",2,Royal Challengers Bangalore,Chennai Super Kings,42
Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,55
Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,33
Wankhede Stadium,1,Delhi Daredevils,Mumbai Indians,44
Wankhede Stadium,2,Mumbai Indians,Delhi Daredevils,41
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,66
M Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,34
Brabourne Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,56
Brabourne Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,36
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Mumbai Indians,44
"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,Chennai Super Kings,61
Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,45
Eden Gardens,2,Kolkata Knight Riders,Kings XI Punjab,57
Shaheed Veer Narayan Singh International Stadium,1,Sunrisers Hyderabad,Delhi Daredevils,37
Shaheed Veer Narayan Singh International Stadium,2,Delhi Daredevils,Sunrisers Hyderabad,49
Wankhede Stadium,1,Royal Challengers Bangalore,Mumbai Indians,39
Wankhede Stadium,2,Mumbai Indians,Royal Challengers Bangalore,45
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Rajasthan Royals,36
"MA Chidambaram Stadium, Chepauk",2,Rajasthan Royals,Chennai Super Kings,40
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Kings XI Punjab,56
"Rajiv Gandhi International Stadium, Uppal",2,Kings XI Punjab,Sunrisers Hyderabad,47
Shaheed Veer Narayan Singh International Stadium,1,Chennai Super Kings,Delhi Daredevils,16
Shaheed Veer Narayan Singh International Stadium,2,Delhi Daredevils,Chennai Super Kings,28
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Royal Challengers Bangalore,71
"Punjab Cricket Association Stadium, Mohali",2,Royal Challengers Bangalore,Kings XI Punjab,61
Wankhede Stadium,1,Mumbai Indians,Kolkata Knight Riders,43
Wankhede Stadium,2,Kolkata Knight Riders,Mumbai Indians,46
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Royal Challengers Bangalore,61
"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Sunrisers Hyderabad,83
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Chennai Super Kings,41
"Punjab Cricket Association Stadium, Mohali",2,Chennai Super Kings,Kings XI Punjab,46
Brabourne Stadium,1,Rajasthan Royals,Kolkata Knight Riders,66
Brabourne Stadium,2,Kolkata Knight Riders,Rajasthan Royals,51
M Chinnaswamy Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,54
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,2
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Mumbai Indians,29
"Rajiv Gandhi International Stadium, Uppal",2,Mumbai Indians,Sunrisers Hyderabad,38
Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,48
Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,54
Maharashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,41
Maharashtra Cricket Association Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,40
JSCA International Stadium Complex,1,Royal Challengers Bangalore,Chennai Super Kings,29
JSCA International Stadium Complex,2,Chennai Super Kings,Royal Challengers Bangalore,34
Eden Gardens,1,Mumbai Indians,Chennai Super Kings,61
Eden Gardens,2,Chennai Super Kings,Mumbai Indians,31
Wankhede Stadium,1,Mumbai Indians,Rising Pune Supergiants,37
Wankhede Stadium,2,Rising Pune Supergiants,Mumbai Indians,51
Eden Gardens,1,Delhi Daredevils,Kolkata Knight Riders,35
Eden Gardens,2,Kolkata Knight Riders,Delhi Daredevils,47
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Kings XI Punjab,Gujarat Lions,52
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Gujarat Lions,Kings XI Punjab,57
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,49
M Chinnaswamy Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,56
Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,40
Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,53
Saurashtra Cricket Association Stadium,1,Rising Pune Supergiants,Gujarat Lions,57
Saurashtra Cricket Association Stadium,2,Gujarat Lions,Rising Pune Supergiants,58
Feroz Shah Kotla,1,Kings XI Punjab,Delhi Daredevils,37
Feroz Shah Kotla,2,Delhi Daredevils,Kings XI Punjab,28
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Kolkata Knight Riders,36
"Rajiv Gandhi International Stadium, Uppal",2,Kolkata Knight Riders,Sunrisers Hyderabad,36
Wankhede Stadium,1,Mumbai Indians,Gujarat Lions,31
Wankhede Stadium,2,Gujarat Lions,Mumbai Indians,42
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Rising Pune Supergiants,Kings XI Punjab,45
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kings XI Punjab,Rising Pune Supergiants,50
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,63
M Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,51
"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Sunrisers Hyderabad,40
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Mumbai Indians,32
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Kings XI Punjab,Kolkata Knight Riders,41
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kolkata Knight Riders,Kings XI Punjab,65
Wankhede Stadium,1,Royal Challengers Bangalore,Mumbai Indians,49
Wankhede Stadium,2,Mumbai Indians,Royal Challengers Bangalore,47
Saurashtra Cricket Association Stadium,1,Gujarat Lions,Sunrisers Hyderabad,50
Saurashtra Cricket Association Stadium,2,Sunrisers Hyderabad,Gujarat Lions,63
Maharashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Rising Pune Supergiants,44
Maharashtra Cricket Association Stadium,2,Rising Pune Supergiants,Royal Challengers Bangalore,36
Feroz Shah Kotla,1,Delhi Daredevils,Mumbai Indians,40
Feroz Shah Kotla,2,Mumbai Indians,Delhi Daredevils,52
